date,open,high,low,close,volume
2023-10-06,5.3,5.3,5.3,5.3,100
2023-10-09,5.5,5.5,5.5,5.5,108
2023-10-10,5.5,5.5,5.5,5.5,1300
2023-10-11,5.5,5.5,5.5,5.5,1
2023-10-12,5.55,5.55,5.4,5.5,1020
2023-10-13,5.5,5.5,5.5,5.5,200
2023-10-16,5.5,5.5,5.3,5.48,1200
2023-10-17,5.48,5.6,5.48,5.49,1000
2023-10-18,5.57,5.57,5.49,5.49,2700
2023-10-19,5.49,5.49,5.49,5.49,700
2023-10-20,5.49,5.84,5.11,5.84,2001
2023-10-23,5.84,6.0,5.84,5.84,20319
2023-10-24,5.55,5.99,5.44,5.86,4400
2023-10-25,5.5,5.5,5.5,5.5,427
2023-10-26,5.6,5.6,5.6,5.6,150
2023-10-27,5.6,5.74,5.6,5.74,1200
2023-10-30,5.55,5.55,5.55,5.55,1000
2023-10-31,5.81,5.81,5.2,5.2,700
2023-11-01,5.55,5.55,5.0,5.54,2900
2023-11-02,5.53,5.67,5.53,5.67,931
2023-11-03,5.67,5.7,5.67,5.67,1100
2023-11-06,5.67,5.67,5.36,5.67,1830
2023-11-07,5.67,5.73,5.51,5.51,3600
2023-11-08,5.51,5.51,5.51,5.51,0
2023-11-09,5.51,5.59,5.51,5.59,2400
2023-11-10,5.3,5.7,5.3,5.7,1300
2023-11-13,5.33,5.72,5.33,5.7,11400
2023-11-14,5.79,5.91,5.6,5.6,2511
2023-11-15,5.6,5.65,5.6,5.65,1850
2023-11-16,5.8,5.8,5.8,5.8,1003
2023-11-17,5.7,5.7,5.7,5.7,2009
2023-11-20,5.7,5.7,5.7,5.7,2000
2023-11-21,5.85,5.85,5.85,5.85,100
2023-11-22,5.89,5.89,5.8,5.85,5410
2023-11-23,5.85,5.91,5.85,5.91,42291
2023-11-24,5.91,5.91,5.88,5.9,11800
2023-11-27,5.49,5.89,5.49,5.8,5400
2023-11-28,5.51,5.51,5.4,5.4,32600
2023-11-29,5.4,5.77,5.4,5.77,16801
2023-11-30,5.74,5.74,5.74,5.74,100
2023-12-01,5.74,5.74,5.74,5.74,43
2023-12-04,5.6,5.81,5.6,5.81,47620
2023-12-05,5.53,5.81,5.53,5.8,1248041
2023-12-06,5.8,5.8,5.8,5.8,1000
2023-12-07,5.97,5.97,5.97,5.97,101
2023-12-08,5.97,5.97,5.8,5.8,1900
2023-12-11,5.89,5.89,5.55,5.88,1200
2023-12-12,5.86,5.86,5.56,5.56,342
2023-12-13,5.89,5.89,5.88,5.88,200
2023-12-14,5.8,5.8,5.51,5.51,300
2023-12-15,5.51,5.51,5.32,5.32,1800
2023-12-18,5.32,5.5,5.32,5.32,2000
2023-12-19,5.68,5.68,5.68,5.68,100
2023-12-20,5.5,5.5,5.5,5.5,1000
2023-12-21,5.5,5.5,5.5,5.5,70
2023-12-22,5.88,5.88,5.8,5.8,200
2023-12-25,5.8,6.19,5.8,6.0,1216
2023-12-26,5.99,6.0,5.7,5.99,1600
2023-12-27,5.8,5.8,5.8,5.8,201
2023-12-28,5.8,5.8,5.8,5.8,600
2023-12-29,5.8,5.8,5.8,5.8,0
2024-01-02,5.8,5.89,5.8,5.89,200
2024-01-03,5.89,5.89,5.89,5.89,0
2024-01-04,5.88,5.98,5.5,5.97,15500
2024-01-05,5.9,5.9,5.9,5.9,200
2024-01-08,5.88,5.89,5.88,5.89,601
2024-01-09,5.89,5.89,5.89,5.89,2000
2024-01-10,5.89,5.89,5.89,5.89,304
2024-01-11,5.89,5.89,5.89,5.89,0
2024-01-12,5.89,5.89,5.89,5.89,20
2024-01-15,5.48,5.92,5.48,5.92,1104
2024-01-16,5.92,5.92,5.92,5.92,817
2024-01-17,5.61,5.61,5.6,5.61,1600
2024-01-18,5.61,5.61,5.6,5.6,500
2024-01-19,5.6,5.6,5.6,5.6,0
2024-01-22,5.67,5.67,5.67,5.67,600
2024-01-23,5.67,5.67,5.67,5.67,201
2024-01-24,5.5,5.6,5.5,5.6,24204
2024-01-25,5.6,5.9,5.5,5.9,22500
2024-01-26,5.89,5.95,5.89,5.95,500
2024-01-29,5.91,5.91,5.91,5.91,200
2024-01-30,5.62,5.62,5.62,5.62,300
2024-01-31,5.85,5.85,5.85,5.85,100
2024-02-01,5.52,5.52,5.51,5.51,200
2024-02-02,5.51,5.51,5.51,5.51,0
2024-02-05,5.51,5.51,5.51,5.51,0
2024-02-06,5.51,5.51,5.51,5.51,0
2024-02-07,5.51,5.51,5.51,5.51,0
2024-02-15,5.51,5.65,5.51,5.65,200
2024-02-16,5.6,6.04,5.6,6.04,1000
2024-02-19,6.01,6.02,5.9,5.9,1014
2024-02-20,5.7,5.97,5.7,5.97,200
2024-02-21,5.9,5.9,5.9,5.9,200
2024-02-22,5.57,5.9,5.56,5.9,3810
2024-02-23,5.87,5.87,5.87,5.87,100
2024-02-26,5.87,5.87,5.55,5.55,1300
2024-02-27,5.56,5.57,5.56,5.56,1602
2024-02-28,5.56,5.84,5.56,5.82,401
2024-02-29,5.82,5.82,5.82,5.82,0
2024-03-01,5.5,5.81,5.45,5.81,1800
2024-03-04,5.79,5.88,5.78,5.8,5800
2024-03-05,5.45,5.87,5.45,5.86,1061701
2024-03-06,5.85,5.85,5.85,5.85,200
2024-03-07,5.85,5.85,5.84,5.84,1616
2024-03-08,5.84,5.84,5.6,5.6,22902
2024-03-11,5.6,5.6,5.6,5.6,81
2024-03-12,5.4,5.79,5.21,5.79,1296
2024-03-13,5.78,5.99,5.5,5.5,2100
2024-03-14,5.5,5.5,5.5,5.5,93
2024-03-15,5.8,5.8,5.79,5.79,3000
2024-03-18,5.79,5.79,5.79,5.79,401
2024-03-19,5.79,5.79,5.79,5.79,0
2024-03-20,5.79,5.79,5.79,5.79,0
2024-03-21,5.52,5.52,5.52,5.52,201
2024-03-22,5.76,5.76,5.76,5.76,2000
2024-03-25,5.76,5.76,5.76,5.76,900
2024-03-26,5.77,5.77,5.5,5.5,3638
2024-03-27,5.5,5.5,5.5,5.5,0
2024-03-28,5.5,5.5,5.5,5.5,0
2024-03-29,5.5,5.5,5.5,5.5,0
2024-04-01,5.52,5.53,5.52,5.52,500
2024-04-02,5.2,5.52,5.2,5.52,1301
2024-04-03,5.52,5.78,5.52,5.78,300
2024-04-04,5.52,5.78,5.52,5.78,602
2024-04-05,5.78,5.78,5.6,5.6,600
2024-04-08,5.58,5.58,5.58,5.58,7100
2024-04-09,5.45,5.79,5.45,5.79,1100
2024-04-10,5.78,5.78,5.72,5.72,800
2024-04-11,5.7,5.7,5.7,5.7,2000
2024-04-12,5.77,5.78,5.77,5.78,4304
2024-04-15,5.38,5.78,5.38,5.78,200
2024-04-16,5.76,6.04,5.76,6.04,29000
2024-04-17,5.65,5.65,5.63,5.63,3300
2024-04-19,5.3,5.3,5.3,5.3,306
2024-04-22,5.3,5.3,5.3,5.3,0
2024-04-23,5.3,5.3,5.3,5.3,100
2024-04-24,5.61,5.61,5.3,5.3,9800
2024-04-25,5.61,5.62,5.61,5.62,200
2024-04-26,5.32,5.5,5.3,5.3,77960
2024-05-02,4.94,5.63,4.94,5.63,200
2024-05-03,5.63,5.63,5.63,5.63,0
2024-05-06,5.25,6.0,5.25,6.0,87100
2024-05-07,5.61,5.98,5.61,5.98,212
2024-05-08,5.98,5.98,5.98,5.98,0
2024-05-09,5.61,5.61,5.61,5.61,1301
2024-05-10,5.3,5.31,5.3,5.31,500
2024-05-13,5.68,5.68,5.2,5.46,700
2024-05-14,5.11,5.8,5.11,5.8,4600
2024-05-15,5.8,5.8,5.8,5.8,0
2024-05-16,5.51,5.77,5.46,5.46,601
2024-05-17,5.46,5.68,5.43,5.43,1335
2024-05-20,5.43,5.43,5.43,5.43,0
2024-05-21,5.43,5.43,5.43,5.43,100
2024-05-22,5.43,5.43,5.43,5.43,0
2024-05-23,5.59,5.59,5.1,5.56,503
2024-05-24,5.56,5.85,5.56,5.85,600
2024-05-27,5.85,5.85,5.45,5.79,1224
2024-05-28,5.75,6.02,5.75,5.75,1600
2024-05-29,5.75,5.75,5.75,5.75,53
2024-05-30,6.12,6.12,6.1,6.1,317
2024-05-31,6.0,6.2,5.99,6.19,4400
2024-06-03,6.19,6.19,6.19,6.19,0
2024-06-04,5.76,6.18,5.76,5.84,5908
2024-06-05,5.5,6.09,5.5,6.09,300
2024-06-06,6.09,6.09,6.09,6.09,100
2024-06-07,6.09,6.09,6.09,6.09,0
2024-06-10,6.09,6.09,6.09,6.09,53
2024-06-11,6.09,6.09,6.09,6.09,0
2024-06-12,6.09,6.09,6.09,6.09,0
2024-06-13,5.85,5.9,5.85,5.9,1553
2024-06-14,6.18,6.19,5.9,5.9,1501
2024-06-17,5.89,6.01,5.89,6.0,6400
2024-06-18,5.9,6.0,5.9,6.0,4600
2024-06-19,5.9,6.0,5.9,6.0,8200
2024-06-20,6.0,6.0,5.58,6.0,3404
2024-06-21,6.0,6.0,5.7,6.0,4700
2024-06-24,6.0,6.2,6.0,6.2,31600
2024-06-25,6.0,6.25,5.77,6.25,12800
2024-06-26,6.0,6.27,6.0,6.27,4300
2024-06-27,6.0,6.4,6.0,6.0,5100
2024-06-28,6.0,6.0,6.0,6.0,100
2024-07-01,6.0,6.0,6.0,6.0,1105
2024-07-02,6.24,6.4,6.2,6.2,57821
2024-07-03,6.2,6.2,6.0,6.0,4400
2024-07-04,6.01,6.01,6.0,6.0,3402
2024-07-05,6.01,6.01,6.0,6.0,3000
2024-07-08,6.03,6.03,6.01,6.03,7307
2024-07-09,6.03,6.03,6.03,6.03,2316
2024-07-10,6.2,6.45,6.1,6.45,36507
2024-07-11,6.45,6.45,6.45,6.45,11
2024-07-12,6.05,6.35,6.05,6.12,31172
2024-07-15,6.39,6.4,6.25,6.3,17430
2024-07-16,6.3,6.3,6.3,6.3,571
2024-07-17,6.1,6.1,6.1,6.1,1600
2024-07-18,6.5,6.5,6.48,6.48,20505
2024-07-19,6.48,6.48,6.48,6.48,0
2024-07-22,6.48,6.48,6.48,6.48,0
2024-07-23,6.48,6.48,6.48,6.48,0
2024-07-24,6.3,6.48,6.3,6.48,4901
2024-07-25,6.5,6.5,6.5,6.5,1000
2024-07-31,6.52,6.52,6.52,6.52,1800
2024-08-01,6.2,6.2,6.2,6.2,7100
2024-08-02,6.2,6.2,6.2,6.2,2100
2024-08-05,6.3,6.3,6.23,6.23,300
2024-08-06,6.23,6.6,6.2,6.6,10900
2024-08-08,6.6,6.6,6.6,6.6,100
2024-08-09,6.8,6.8,6.79,6.79,1100
2024-08-12,6.32,6.32,6.32,6.32,500
2024-08-13,6.4,6.4,6.4,6.4,4000
2024-08-14,6.2,6.4,6.2,6.4,500
2024-08-16,6.69,6.69,6.69,6.69,5000
2024-08-22,6.3,6.3,6.3,6.3,1100
2024-08-23,6.3,6.3,6.3,6.3,3000
2024-08-26,6.3,6.3,6.3,6.3,100
2024-08-29,6.3,6.3,6.3,6.3,300
2024-08-30,6.3,6.3,6.3,6.3,5000
2024-09-05,6.6,6.6,6.3,6.3,5100
2024-09-06,6.3,6.3,6.3,6.3,1800
2024-09-09,6.3,6.62,6.3,6.62,5100
2024-09-10,6.62,6.62,6.6,6.6,2200
2024-09-16,6.5,6.5,6.5,6.5,200
2024-09-19,6.1,6.1,6.1,6.1,10000
2024-09-23,6.5,6.52,6.49,6.49,1400
2024-09-24,6.49,6.5,6.49,6.5,1300
2024-09-25,6.5,6.5,6.1,6.1,1100
2024-09-27,6.2,6.2,6.2,6.2,1000
2024-09-30,6.2,6.2,6.2,6.2,400
2024-10-01,6.2,6.2,6.2,6.2,700
2024-10-02,6.2,6.2,6.0,6.0,1600
2024-10-03,6.0,6.2,6.0,6.2,1300
2024-10-09,5.77,6.58,5.77,6.58,5000
2024-10-10,6.2,6.62,6.2,6.62,2200
2024-10-11,6.6,6.62,6.6,6.6,2500
2024-10-15,6.6,6.7,6.6,6.6,8700
2024-10-16,6.15,6.15,6.15,6.15,500
2024-10-17,5.73,5.73,5.73,5.73,100
2024-10-21,5.73,5.73,5.73,5.73,1600
2024-10-25,6.13,6.13,6.13,6.13,100
2024-10-28,6.55,6.55,6.55,6.55,100
2024-11-08,6.95,7.0,6.3,6.3,14400
2024-11-13,6.3,6.3,6.3,6.3,100
2024-11-19,6.3,6.3,6.3,6.3,700
2024-11-20,6.3,6.3,6.3,6.3,100
2024-11-21,6.5,6.74,6.5,6.74,5000
2024-11-22,6.83,7.21,6.83,7.21,151800
2024-11-25,7.71,7.71,7.71,7.71,33400
2024-11-26,8.24,8.24,7.8,7.8,16400
2024-11-27,7.8,8.33,7.8,8.33,61500
2024-11-28,8.33,8.91,8.2,8.4,22100
2024-11-29,8.4,8.6,8.4,8.49,20100
2024-12-02,8.6,8.6,8.5,8.5,14500
2024-12-04,8.0,8.0,8.0,8.0,13000
2024-12-05,7.5,7.5,7.5,7.5,800
2024-12-06,8.02,8.02,8.02,8.02,100
2024-12-09,7.5,7.5,7.46,7.46,9100
2024-12-10,7.98,7.98,7.98,7.98,300
2024-12-11,7.98,8.2,7.98,8.0,5000
2024-12-12,7.85,7.85,7.85,7.85,1400
2024-12-13,7.85,7.85,7.85,7.85,500
2024-12-17,7.8,7.8,7.8,7.8,400
2024-12-18,7.75,7.75,7.75,7.75,300
2024-12-19,7.7,7.7,7.65,7.65,2000
2024-12-20,7.7,7.7,7.7,7.7,100
2024-12-23,7.17,7.17,7.17,7.17,100
2024-12-24,7.5,7.5,7.5,7.5,200
2024-12-25,7.5,7.6,7.5,7.6,7400
2024-12-27,7.7,7.7,7.7,7.7,100
2024-12-30,7.7,7.7,7.7,7.7,1800
2025-01-06,7.7,7.7,7.7,7.7,800
2025-01-07,7.7,7.7,7.7,7.7,8400
2025-01-08,7.7,7.7,7.7,7.7,2500
2025-01-10,7.8,7.8,7.8,7.8,700
2025-01-13,7.8,7.8,7.8,7.8,3000
2025-01-14,7.8,7.8,7.8,7.8,100
2025-01-20,7.8,7.8,7.8,7.8,2100
2025-01-21,7.8,7.8,7.8,7.8,500
2025-01-24,7.8,7.8,7.8,7.8,300
2025-02-04,7.8,7.8,7.8,7.8,2000
2025-02-05,8.0,8.0,8.0,8.0,3000
2025-02-11,7.9,7.9,7.9,7.9,700
2025-02-12,7.9,7.9,7.9,7.9,100
2025-02-14,7.9,7.9,7.9,7.9,300
2025-02-17,7.9,7.96,7.9,7.96,200
2025-02-18,7.96,7.96,7.96,7.96,200
2025-02-19,7.96,8.49,7.96,8.49,7500
2025-02-20,8.49,9.0,8.49,9.0,800
2025-02-21,9.0,9.2,9.0,9.2,700
2025-02-24,9.1,9.84,9.1,9.84,11400
2025-02-25,9.84,10.3,9.84,10.3,9400
2025-02-26,10.3,10.6,10.3,10.6,11800
2025-02-27,10.8,11.0,10.8,10.8,10200
2025-03-03,10.8,11.0,10.8,11.0,7800
2025-03-04,11.0,11.3,11.0,11.2,4400
2025-03-05,11.15,11.2,10.8,11.2,1500
2025-03-06,11.2,11.2,10.45,11.0,5800
2025-03-07,10.95,11.75,10.95,11.4,17200
2025-03-10,11.55,12.15,10.65,11.0,20300
2025-03-11,11.7,11.7,10.25,11.5,800
2025-03-12,11.5,11.8,11.4,11.4,2800
2025-03-13,10.65,10.65,10.65,10.65,300
2025-03-14,9.92,11.0,9.91,11.0,6400
2025-03-17,11.0,11.5,11.0,11.4,77200
2025-03-18,11.1,11.4,11.0,11.0,24100
2025-03-19,11.0,11.3,11.0,11.15,10900
2025-03-20,11.15,11.2,10.8,11.2,13900
2025-03-21,11.0,11.3,10.8,11.2,15300
2025-03-25,11.2,11.2,11.2,11.2,100
2025-03-26,11.1,11.2,10.8,11.2,8000
2025-03-27,11.4,11.5,10.9,11.15,15300
2025-03-28,11.0,11.0,11.0,11.0,1000
2025-03-31,11.35,11.35,11.35,11.35,100
2025-04-01,11.3,11.3,10.8,11.2,2200
2025-04-02,11.0,11.2,11.0,11.0,9100
2025-04-08,10.6,10.6,10.25,10.6,504300
2025-04-09,10.9,11.0,10.9,11.0,3500
2025-04-10,11.75,11.75,11.7,11.7,6500
2025-04-11,11.7,11.7,10.9,11.7,2100
2025-04-14,11.9,11.9,11.9,11.9,100
2025-04-15,11.1,11.9,11.1,11.9,300
2025-04-16,11.1,11.9,11.1,11.9,4200
2025-04-17,11.65,11.65,11.1,11.6,700
2025-04-18,12.0,12.4,12.0,12.0,9700
2025-04-21,11.8,11.95,11.65,11.8,24200
2025-04-22,11.0,11.8,11.0,11.8,2700
2025-04-23,11.5,11.9,11.5,11.9,5100
2025-04-24,11.4,11.7,11.1,11.7,3700
2025-04-28,11.4,11.75,11.4,11.75,5100
2025-04-29,11.5,11.5,11.5,11.5,100
2025-05-05,11.0,11.5,11.0,11.5,800
2025-05-06,11.5,11.5,11.0,11.5,800
2025-05-07,11.5,11.5,11.5,11.5,200
2025-05-08,11.0,11.0,11.0,11.0,100
2025-05-09,11.0,11.5,10.9,11.5,1900
2025-05-12,12.0,12.0,11.0,11.5,1300
2025-05-14,10.95,11.5,10.7,11.5,2500
2025-05-15,11.45,11.45,11.45,11.45,100
2025-05-16,10.7,11.5,10.7,10.7,3100
2025-05-19,10.7,11.4,10.7,11.3,1400
2025-05-20,11.3,11.3,10.55,11.3,2200
2025-05-21,10.55,11.35,10.55,11.3,8500
2025-05-23,10.55,11.3,10.55,11.3,5100
2025-05-27,10.55,10.55,10.55,10.55,2300
2025-05-28,9.9,11.1,9.82,9.82,26400
2025-05-29,10.4,10.4,10.4,10.4,100
2025-05-30,10.8,10.8,10.8,10.8,100
2025-06-03,10.05,10.05,10.05,10.05,10000
2025-06-04,10.6,10.6,9.35,10.3,14500
2025-06-05,10.05,10.05,10.05,10.05,200
2025-06-06,10.05,10.1,9.35,9.35,4400
2025-06-09,9.35,9.35,8.72,8.8,2100
2025-06-10,9.41,9.41,9.0,9.0,4000
2025-06-12,9.0,9.1,8.6,9.1,1500
2025-06-13,9.64,9.64,8.6,8.61,2400
2025-06-16,8.61,9.16,8.03,9.16,3100
2025-06-17,8.65,9.14,8.65,9.14,500
2025-06-19,8.51,9.0,8.51,9.0,700
2025-06-20,8.45,8.9,8.41,8.9,6700
2025-06-23,9.0,9.4,9.0,9.3,1400
2025-06-24,8.65,8.99,8.65,8.98,9000
2025-06-25,8.97,8.97,8.36,8.7,4500
2025-06-26,8.7,8.7,8.36,8.59,1000
2025-06-30,9.0,9.0,9.0,9.0,100
2025-07-03,8.8,8.8,8.37,8.69,36000
2025-07-04,8.5,8.5,8.5,8.5,800
2025-07-07,8.5,8.5,8.5,8.5,2100
2025-07-09,8.6,8.6,8.49,8.49,600
2025-07-10,8.0,8.49,8.0,8.49,3600
2025-07-11,8.01,8.48,8.0,8.45,21500
2025-07-15,8.4,8.4,8.0,8.37,3600
2025-07-16,8.15,8.36,8.0,8.36,8000
2025-07-17,8.3,8.4,8.1,8.1,6100
2025-07-18,8.1,8.1,8.0,8.1,1100
2025-07-21,8.45,8.45,8.0,8.0,8500
2025-07-22,8.1,8.15,8.1,8.1,20200
2025-07-23,8.1,8.1,8.1,8.1,1100
2025-07-24,8.1,8.4,8.1,8.3,17600
2025-07-25,8.68,8.79,8.68,8.7,55000
2025-07-28,8.7,9.0,8.5,8.5,10200
2025-07-29,8.5,9.08,8.5,8.5,5900
2025-07-30,9.08,9.09,8.68,9.08,20000
2025-07-31,9.08,9.08,8.45,9.0,1300
2025-08-04,9.0,9.0,8.85,8.85,3300
2025-08-05,8.84,8.84,8.84,8.84,4000
2025-08-06,9.0,9.2,9.0,9.2,4200
2025-08-07,9.11,9.83,9.11,9.3,12000
2025-08-08,9.3,9.3,8.65,9.3,8400
2025-08-11,9.3,9.3,9.3,9.3,500
2025-08-12,9.0,9.29,9.0,9.28,7100
2025-08-13,9.92,9.92,9.29,9.92,39200
2025-08-14,9.92,10.0,9.92,9.92,21400
2025-08-15,10.5,10.5,9.8,9.8,7200
2025-08-18,9.95,10.45,9.8,10.4,16200
2025-08-19,10.4,10.9,10.35,10.35,23100
2025-08-20,10.35,10.9,9.69,10.35,45500
2025-08-21,10.35,10.7,9.76,9.76,4600
2025-08-22,9.76,9.97,9.2,9.97,500
2025-08-25,9.94,10.0,9.94,10.0,3500
2025-08-26,10.0,10.35,10.0,10.35,25600
2025-08-27,10.7,11.0,10.35,10.35,10500
2025-08-28,10.95,10.95,10.4,10.4,7100
2025-09-03,10.9,10.95,10.2,10.95,8900
2025-09-04,10.9,10.95,10.9,10.95,3600
2025-09-05,10.7,11.5,10.5,11.5,37100
2025-09-08,11.5,11.6,11.5,11.5,7900
2025-09-09,11.55,11.6,11.0,11.55,18800
2025-09-10,11.55,12.15,11.55,11.7,19400
2025-09-11,12.2,12.2,11.7,11.9,23700
2025-09-12,11.75,12.05,11.7,11.95,32300
2025-09-15,12.1,12.15,11.9,11.9,11800
2025-09-16,11.95,11.95,11.9,11.9,6000
2025-09-17,11.8,11.9,11.8,11.9,2200
2025-09-18,12.15,12.15,11.9,11.9,14100
2025-09-19,12.5,12.5,12.3,12.3,5500
2025-09-22,12.3,12.5,12.0,12.25,88500
2025-09-23,12.25,12.25,12.0,12.0,32000
2025-09-24,12.0,12.0,11.3,11.3,14100
2025-09-26,11.95,12.0,11.4,11.4,172200
2025-09-29,12.15,12.15,12.0,12.15,29400
2025-09-30,12.15,12.15,12.15,12.15,200
2025-10-01,12.15,12.15,12.15,12.15,2100
2025-10-02,12.15,12.15,11.5,11.5,18300
2025-10-06,11.5,11.5,11.5,11.5,200
2025-10-07,12.0,12.0,12.0,12.0,100
2025-10-08,11.2,12.0,11.2,12.0,10000
2025-10-13,12.0,12.0,12.0,12.0,700
2025-10-15,12.8,12.8,12.7,12.8,17000
2025-10-17,12.3,12.3,11.95,11.95,1100
2025-10-20,11.25,12.6,11.2,11.2,2400
2025-10-21,11.95,11.95,10.55,10.6,2400
2025-10-23,11.3,11.3,11.3,11.3,300
2025-10-24,12.05,12.05,12.05,12.05,100
2025-10-28,11.25,12.55,11.25,12.55,2100
2025-10-29,12.5,12.5,12.5,12.5,100
2025-11-10,12.5,12.5,12.5,12.5,400
2025-11-11,12.1,12.1,12.1,12.1,100
